0	8701
64	5290
128	7053
192	8865
256	10659
320	12446
384	14927
448	16071
512	18136
576	19827
640	21658
704	23167
768	25303
832	26791
896	28699
960	30349
1024	32847
1088	34359
1152	36222
1216	37983
1280	39660
1344	41794
1408	43490
1472	45238
1536	46451
1600	48790
1664	50300
1728	51995
1792	54306
1856	55860
1920	57563
1984	59178
2048	61405
2112	63741
2176	65259
2240	66821
2304	68960
2368	70106
2432	71881
2496	73608
2560	75406
2624	78875
2688	78785
2752	81960
2816	82695
2880	84652
2944	86558
3008	88812
3072	89927
3136	92309
3200	93565
3264	95539
3328	97133
3392	99570
3456	100404
3520	102572
3584	104815
3648	105996
3712	107467
3776	110471
3840	112176
3904	113720
3968	115174
4032	117059
4096	119846
4160	120692
4224	122696
4288	125239
4352	125920
4416	128293
4480	129598
4544	131192
4608	133748
4672	136423
4736	138652
4800	139504
4864	140557
4928	142843
4992	144377
5056	145505
5120	147592
5184	149212
5248	151498
5312	152642
5376	154254
5440	156751
5504	158588
5568	159313
5632	160844
5696	163780
5760	165608
5824	167586
5888	169845
5952	170798
6016	172604
6080	176408
6144	175859
6208	178053
6272	181285
6336	182137
6400	183240
6464	185857
6528	187724
6592	189828
6656	191205
6720	193007
6784	195273
6848	197936
6912	198386
6976	200537
7040	202494
7104	204390
7168	205545
7232	207409
7296	208848
7360	211026
7424	212839
7488	214129
7552	216951
7616	217225
7680	219181
7744	221017
7808	223987
7872	224624
7936	226846
8000	227199
8064	230819
8128	232735
8192	234517
