0	10838
64	7360
128	10572
192	11569
256	12304
320	15057
384	16983
448	18805
512	20584
576	22920
640	24394
704	26836
768	28400
832	30016
896	32481
960	34763
1024	34702
1088	36137
1152	39421
1216	41078
1280	43578
1344	45036
1408	46249
1472	50065
1536	50705
1600	51985
1664	53534
1728	56477
1792	57035
1856	59053
1920	59888
1984	62629
2048	65195
2112	67026
2176	70396
2240	70766
2304	71668
2368	73894
2432	75797
2496	77091
2560	79855
2624	82330
2688	82481
2752	86090
2816	86235
2880	88856
2944	91470
3008	91766
3072	94265
3136	95178
3200	98525
3264	99865
3328	100816
3392	102651
3456	103131
3520	106463
3584	107450
3648	110441
3712	112318
3776	114393
3840	116523
3904	118097
3968	120108
4032	122178
4096	122764
4160	124864
4224	129085
4288	131658
4352	129942
4416	133226
4480	135093
4544	133037
4608	136616
4672	140844
4736	141810
4800	144579
4864	145317
4928	147242
4992	148346
5056	149809
5120	152097
5184	154534
5248	155242
5312	157702
5376	159280
5440	161404
5504	164216
5568	165588
5632	167600
5696	171113
5760	170727
5824	172096
5888	172102
5952	179031
6016	179643
6080	179924
6144	183230
6208	182645
6272	183424
6336	183534
6400	189104
6464	191628
6528	193390
6592	194852
6656	198023
6720	197961
6784	199934
6848	202347
6912	203434
6976	206040
7040	208116
7104	209400
7168	213303
7232	212334
7296	215708
7360	214876
7424	219229
7488	221235
7552	225206
7616	226298
7680	227861
7744	229678
7808	229371
7872	233332
7936	232645
8000	234555
8064	235733
8128	230783
8192	233595
