0	882944
64	892064
128	1193344
192	1493088
256	1794752
320	2095456
384	2397280
448	2697600
512	2999232
576	3299488
640	3599616
704	3901888
768	4201376
832	4502080
896	4802560
960	5103392
1024	5408160
1088	5706240
1152	6009920
1216	6308800
1280	6608512
1344	6910336
1408	7209632
1472	7510944
1536	7811008
1600	8114016
1664	8417056
1728	8721024
1792	9018624
1856	9319328
1920	9617952
1984	9918496
2048	10220032
2112	10523552
2176	10823296
2240	11123136
2304	11425472
2368	11726048
2432	12024800
2496	12329920
2560	12630208
2624	12928384
2688	13235648
2752	13530624
2816	13833600
2880	14134592
2944	14436672
3008	14738624
3072	15038144
3136	15341856
3200	15642432
3264	15938848
3328	16239776
3392	16540832
3456	16842304
3520	17148000
3584	17447136
3648	17743296
3712	18044928
3776	18350944
3840	18656256
3904	18950240
3968	19254880
4032	19549568
4096	19857536
4160	20158176
4224	20459040
4288	20758656
4352	21056384
4416	21364512
4480	21664256
4544	21965184
4608	22262528
4672	22556192
4736	22862560
4800	23163712
4864	23463904
4928	23765536
4992	24057600
5056	24361152
5120	24671520
5184	24967520
5248	25270784
5312	25571552
5376	25870336
5440	26172640
5504	26478464
5568	26777344
5632	27073696
5696	27377984
5760	27681632
5824	27977728
5888	28275360
5952	28576640
6016	28884128
6080	29185536
6144	29487712
6208	29783456
6272	30077696
6336	30377280
6400	30687520
6464	30984032
6528	31280992
6592	31581312
6656	31875104
6720	32184800
6784	32492256
6848	32782272
6912	33085728
6976	33384288
7040	33691104
7104	33992480
7168	34289408
7232	34588064
7296	34898176
7360	35194688
7424	35493920
7488	35795456
7552	36094656
7616	36393824
7680	36697280
7744	37005728
7808	37294944
7872	37599296
7936	37898912
8000	38209632
8064	38502912
8128	38799360
8192	39103328
