0	10318
64	7497
128	8436
192	10172
256	12005
320	14293
384	15361
448	17684
512	19232
576	21879
640	22925
704	25216
768	26316
832	28572
896	31250
960	32401
1024	34490
1088	36575
1152	37157
1216	39591
1280	41127
1344	43514
1408	45289
1472	46601
1536	48900
1600	50685
1664	51890
1728	54470
1792	56575
1856	57680
1920	59634
1984	61192
2048	63405
2112	64835
2176	66462
2240	69408
2304	70591
2368	72265
2432	73646
2496	76039
2560	77771
2624	79357
2688	80495
2752	82729
2816	84521
2880	87913
2944	89187
3008	90744
3072	93429
3136	93853
3200	96105
3264	97714
3328	98954
3392	102106
3456	103302
3520	105290
3584	107065
3648	108871
3712	110426
3776	112593
3840	114693
3904	114902
3968	117546
4032	119213
4096	121343
4160	122492
4224	124763
4288	126710
4352	128434
4416	129928
4480	132912
4544	134425
4608	135543
4672	138650
4736	138547
4800	141074
4864	144054
4928	145720
4992	146090
5056	148642
5120	150756
5184	151619
5248	153395
5312	155302
5376	157949
5440	159600
5504	159462
5568	162599
5632	163753
5696	165800
5760	168610
5824	170583
5888	173459
5952	172697
6016	176532
6080	177427
6144	179196
6208	181476
6272	183970
6336	184312
6400	186599
6464	187897
6528	188024
6592	192356
6656	193489
6720	195342
6784	196649
6848	198344
6912	201033
6976	203721
7040	204361
7104	206807
7168	205823
7232	209286
7296	212893
7360	215634
7424	214028
7488	216739
7552	219030
7616	222322
7680	222560
7744	224027
7808	227155
7872	229067
7936	232975
8000	232354
8064	234299
8128	237157
8192	236482
