0	28949184
64	31660755
128	34679027
192	37649446
256	40503532
320	43336633
384	46143232
448	48880569
512	51611040
576	54594713
640	57607104
704	60486073
768	63295161
832	66112160
896	68900224
960	71587910
1024	74584729
1088	77609056
1152	80415936
1216	83297568
1280	86079436
1344	88850144
1408	91560320
1472	94563737
1536	97572352
1600	100411590
1664	103264115
1728	106063116
1792	108842809
1856	111547385
1920	114512870
1984	117505024
2048	120390982
2112	123265126
2176	126004140
2240	128804224
2304	131530924
2368	134499827
2432	137510284
2496	140383084
2560	143211539
2624	146002828
2688	148809433
2752	151482048
2816	154476588
2880	157494028
2944	160285465
3008	163185363
3072	165958163
3136	168761408
3200	171466252
3264	174455366
3328	177470304
3392	180317952
3456	183181619
3520	185967750
3584	188733184
3648	191432064
3712	194427392
3776	197439763
3840	200274918
3904	203153401
3968	205922080
4032	208701504
4096	211414387
4160	214359680
4224	217397248
4288	220251827
4352	223059667
4416	225881785
4480	228675852
4544	231389171
4608	234383840
4672	237393497
4736	240235859
4800	243095948
4864	245879929
4928	248661689
4992	251404396
5056	254335308
5120	257383718
5184	260191360
5248	263057273
5312	265839315
5376	268606131
5440	271329561
5504	274320972
5568	277285510
5632	280170348
5696	283033350
5760	285808934
5824	288588096
5888	291300793
5952	294295891
6016	297312128
6080	300164409
6144	303005894
6208	305801862
6272	308576492
6336	311267052
6400	314275072
6464	317271366
6528	320127411
6592	322985907
6656	325746950
6720	328542041
6784	331249536
6848	334232473
6912	337223840
6976	340056019
7040	342948985
7104	345723520
7168	348471865
7232	351268236
7296	354201990
7360	357245856
7424	360107872
7488	362962656
7552	365756928
7616	368520435
7680	371248550
7744	374204281
7808	377221843
7872	380102508
7936	382945696
8000	385745209
8064	388477804
8128	391263302
8192	394176211
